source,Species,reference,life_stage,endpoint,congener,exp_days,chronic_acute,noec_ug_l,loec_ug_l,other_dose_ug_l,doses,group,ca_resident,ca_native,ca_native_genus,ca_relevant,note
Mehinto,African clawed frog (Xenopus laevis),"Dvorakova et al. 2002, Environmental Toxicology, 17",Embryonic,Development,Microcystin-LR,4,acute,10,25,,,Chordata,Yes,No,No,Yes,Invasive
Mehinto,African clawed frog (Xenopus laevis),"Dvorakova et al. 2002, Environmental Toxicology, 17",Embryonic,Mortality,Microcystin-LR,4,acute,250,500,,,Chordata,Yes,No,No,Yes,Invasive
Mehinto,African clawed frog (Xenopus laevis),"Dvorakova et al. 2002, Environmental Toxicology, 17",Embryonic,Growth,Microcystin-LR,4,acute,500,,,,Chordata,Yes,No,No,Yes,Invasive
Mehinto,African clawed frog (Xenopus laevis),"Fischer and Dietrich, 2000, Aquatic Toxicology, 49",Embryonic,Growth + Development,"Microcystin-LR, RR",5,acute,2000,,,,Chordata,Yes,No,No,Yes,Invasive
Mehinto,African clawed frog (Xenopus laevis),"Fischer and Dietrich, 2000, Aquatic Toxicology, 49",Embryonic,Mortality,"Microcystin-LR, RR",5,acute,2000,,,,Chordata,Yes,No,No,Yes,Invasive
New,African clawed frog (Xenopus laevis),"Li et al. 2022, Frontiers in Microbiology 895383",Juvenile,Subcellular (gene and protein),Microcystin-LR,56,chronic,,1,,4,Chordata,Yes,No,No,Yes,Invasive
New,African clawed frog (Xenopus laevis),"Li et al. 2022, Frontiers in Microbiology 895383",Juvenile,Histology,Microcystin-LR,56,chronic,,1,,4,Chordata,Yes,No,No,Yes,Invasive
New,American bullfrog (Lithobates catesbeianus),Jiang et al. 2022. Toxins 14,Juvenile,Subcellular (gene and protein),Microcystin-LR,30,chronic,,0.5,,2,Chordata,Yes,No,No,Yes,Invasive
New,American bullfrog (Lithobates catesbeianus),"Wang et al 2023, Aquatic Toxicology 258",Juvenile,Subcellular (gene),Microcystin-LR,30,chronic,,0.5,,2,Chordata,Yes,No,No,Yes,Invasive
New,American bullfrog (Lithobates catesbeianus),"Wang et al 2023, Aquatic Toxicology 258",Juvenile,Histology,Microcystin-LR,30,chronic,,0.5,,2,Chordata,Yes,No,No,Yes,Invasive
New,Asian Clam (Corbicula fluminea),"Zhang et al. 2023, Fish and Shellfish Immunology 139",Adult,Subcellular (gene),Microcystin-LR,4,acute,,320,,1,"Rotifera, Annelida, Mollusca",Yes,No,No,Yes,Invasive
Mehinto,Axolotl (Ambystoma mexicanum),"Oberemm et al. 1999, Environmental Toxicology, 14",Embryonic/Juvenile,Development,Microcystin-LR,35,chronic,5,50,,,Chordata,No,No,No,No,
Mehinto,Axolotl (Ambystoma mexicanum),"Oberemm et al. 1999, Environmental Toxicology, 14",Embryonic/Juvenile,Mortality,Microcystin-LR,35,chronic,50,,,,Chordata,No,No,No,No,
New,Black-Spotted Pond Frogs (Pelophylax nigromaculatus),"Liu et al. 2024, Environmental Science and Technology 58",Adult,Subcellular (gene and protein),Microcystin-LR,21,chronic,,1,,1,Chordata,No,No,No,No,
New,Black-Spotted Pond Frogs (Pelophylax nigromaculatus),"Zhang et al. 2024, Environmental Pollution 358",Adult,Histology,Microcystin-LR,21,chronic,,1,,2,Chordata,No,No,No,No,
New,Black-Spotted Pond Frogs (Pelophylax nigromaculatus),"Zhang et al. 2024, Environmental Pollution 358",Adult,Subcellular (gene and protein),Microcystin-LR,21,chronic,,1,,2,Chordata,No,No,No,No,NOEC from LC50
New,Black-Spotted Pond Frogs (Pelophylax nigromaculatus),"Liu et al. 2024, Environmental Science and Technology 58",Juvenile,Development,Microcystin-LR,30,chronic,,1,,1,Chordata,No,No,No,No,NOEC from EC50
New,Black-Spotted Pond Frogs (Pelophylax nigromaculatus),"Liu et al. 2024, Environmental Science and Technology 58",Juvenile,Subcellular (gene and protein),Microcystin-LR,30,chronic,,1,,1,Chordata,No,No,No,No,
New,Black-Spotted Pond Frogs (Pelophylax nigromaculatus),Zhang et al. 2024 Science of the Total Environment 906,Juvenile,Histology,Microcystin-LR,60,chronic,,1,,2,Chordata,No,No,No,No,
